post_id,plage_cote,nature_rando,gastronomie,culture_histoire,velo,voile,campervan,ski,activites_famille,detente,shopping,roadtrip,citytrip,hiver,printemps,ete,automne,2_3_jours,semaine,plus,economique,medium,eleve,bebes,kids,ados,france,angleterre,mediterranee,europe,sans_decalage,plus_loin
54367,0,0,0,2,0,0,0,0,1,0,1,0,0,1,2,2,2,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0
50022,2,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0
31013,2,1,0,0,0,0,0,0,2,1,0,2,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0
29380,0,0,0,2,0,0,0,0,1,0,1,0,0,1,2,2,2,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0
60061,1,2,2,2,0,0,0,0,1,0,0,2,0,0,1,1,1,0,1,1,1,1,0,1,1,2,0,0,1,1,1,0
49459,2,2,2,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0
50088,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,2,1,0,1,2,2,0,0,1,1,1,0
58693,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,2,0,1,0,1,1,0
46965,0,2,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,1,0,1,1,0,1,2,2,0,0,0,1,1,0
51197,0,0,2,2,0,0,0,0,1,0,1,0,0,2,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0
46963,1,2,2,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,1,1,2,1,0,1,1,1,0,0,0,1,1,0
41454,0,0,0,2,0,0,0,0,1,0,1,0,0,1,2,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0
57566,0,1,0,1,0,0,0,0,2,0,0,1,0,0,2,2,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0
42132,0,2,1,0,0,0,0,0,1,0,0,1,0,2,2,1,2,0,1,1,2,1,0,1,1,1,0,0,0,1,1,0
37410,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0
25603,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0
56717,2,1,1,0,0,0,0,0,1,1,0,2,0,0,2,1,1,0,1,1,2,1,0,1,2,1,0,0,0,1,1,0
36969,2,2,1,0,0,0,0,0,1,1,0,2,0,0,2,1,0,0,1,0,2,1,0,1,2,1,0,1,0,1,1,0
54255,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,2,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0
60401,0,2,0,1,0,0,0,0,1,0,0,0,0,0,2,1,2,1,0,0,2,1,0,1,1,1,0,0,0,1,1,0
46704,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0
49168,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0
62435,2,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0
34358,0,0,2,2,0,0,0,0,2,0,0,0,0,2,2,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
42961,0,0,0,2,0,0,0,0,1,0,1,0,0,1,2,2,2,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0
45060,0,1,2,2,0,0,0,0,2,0,0,2,0,0,2,0,1,0,1,1,2,1,0,1,1,1,0,0,1,1,1,0
55907,0,1,0,0,0,0,0,0,2,0,0,2,0,0,1,2,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0
44136,0,0,2,2,0,0,0,0,2,0,0,0,0,2,2,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0
42312,1,2,2,0,0,0,0,0,1,0,0,2,0,2,1,1,1,0,1,1,2,1,0,1,1,1,0,0,0,1,1,0
30313,2,1,2,0,0,0,0,0,1,0,0,2,0,0,2,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0
52578,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,1,0,1,2,2,0,0,0,1,1,0
44724,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,2,2,0,0,1,1,1,0
